time,token,status,reason,volume_usdc,small_test_usdc,usdc_back,backup_usdc_back,profit_usd,profit_percent,backup_profit_percent,buy_place,sell_place,backup_place,token_amount,buy_slippage,sell_slippage,spread_percent,route_pair,is_near_profit,buy_dexes_checked,sell_dexes_checked
2026-04-29 13:02:23,CRV,ok,,200,60.0,198.5733,198.3221,-1.4711,-0.7356,-0.8532,Odos,KyberSwap,0x/Matcha,854.780416662489,0.2348,0.0441,-0.7133,Odos -> KyberSwap,False,6,5
2026-04-29 13:02:30,SUSHI,ok,,100,30.0,97.3451,97.2037,-2.6848,-2.6848,-2.8262,Odos,Sushi,0x/Matcha,460.2752917896884,0.6536,0.5629,-2.6549,Odos -> Sushi,False,6,5
2026-04-29 13:02:33,WMATIC,ok,,50,20,49.9778,49.9786,-0.0276,-0.0552,-0.0697,KyberSwap,Sushi,Odos,538.3941738501325,-0.0001,0.0017,-0.0444,KyberSwap -> Sushi,False,6,5
2026-04-29 13:02:37,CRV,ok,,500,150.0,493.2466,492.6499,-6.8104,-1.3621,-1.4776,Odos,KyberSwap,0x/Matcha,2130.451567012922,0.3753,0.2733,-1.3507,Odos -> KyberSwap,False,6,5
2026-04-29 13:02:43,SUSHI,ok,,200,60.0,191.4289,191.1029,-8.6404,-4.3202,-4.4832,Odos,Sushi,0x/Matcha,914.4204751217148,1.0045,1.0231,-4.2855,Odos -> Sushi,False,6,5
2026-04-29 13:02:48,WMATIC,ok,,100,30.0,99.9518,99.9527,-0.0536,-0.0536,-0.0608,KyberSwap,Sushi,Odos,1076.7825300437191,0.0006,0.0033,-0.0482,KyberSwap -> Sushi,False,6,5
2026-04-29 13:02:50,DAI,ok,,50,20,49.9966,50.0012,-0.0081,-0.0162,-0.0168,KyberSwap,Sushi,Odos,50.00015903723058,-0.0078,-0.0044,-0.0067,KyberSwap -> Sushi,True,6,5
2026-04-29 13:02:54,SUSHI,ok,,500,150.0,456.6728,455.4758,-43.4087,-8.6817,-8.9211,Odos,Sushi,0x/Matcha,2245.1431558233307,2.1033,2.3847,-8.6654,Odos -> Sushi,False,6,5
2026-04-29 13:03:01,WMATIC,ok,,200,60.0,199.8881,199.8966,-0.1173,-0.0586,-0.0609,KyberSwap,Sushi,Odos,2153.551283057175,0.0007,0.0067,-0.056,KyberSwap -> Sushi,False,6,5
2026-04-29 13:03:05,DAI,ok,,100,30.0,99.9989,99.9888,-0.0111,-0.0111,-0.0163,KyberSwap,Odos,Sushi,99.99912727742834,-0.0001,0.0004,-0.0011,KyberSwap -> Odos,True,6,5
