time,token,status,reason,volume_usdc,small_test_usdc,buy_place,sell_place,backup_place,token_amount,usdc_back,backup_usdc_back,buy_slippage,sell_slippage,profit_usd,profit_percent,backup_profit_percent,spread_percent,route_pair,is_near_profit,buy_dexes_checked,sell_dexes_checked
2026-04-29 12:27:36,SNX,ok,,500,125.0,0x/Matcha,Odos,KyberSwap,1519.2745151126842,472.0074,470.708,1.904,1.2892,-28.0313,-5.6063,-5.8636,-5.5985,0x/Matcha -> Odos,False,5,4
2026-04-29 12:28:07,DPI,skipped,high_buy_slippage,500,125.0,KyberSwap,,,8.118481301793473,,,16.0559,,,,,,,,5,
2026-04-29 12:28:08,COMP,skipped,no_buy_quotes,500,125.0,,,,,,,,,,,,,,,0,
2026-04-29 12:28:10,DPI,skipped,high_buy_slippage,1000,250.0,KyberSwap,,,13.507696911044528,,,25.1015,,,,,,,,5,
2026-04-29 12:28:21,DPI,skipped,high_buy_slippage,2000,500.0,KyberSwap,,,20.120278418166976,,,38.0414,,,,,,,,5,
2026-04-29 12:28:22,COMP,skipped,no_buy_quotes,1000,250.0,,,,,,,,,,,,,,,0,
2026-04-29 12:28:24,COMP,skipped,no_buy_quotes,2000,500.0,,,,,,,,,,,,,,,0,
2026-04-29 12:28:26,DPI,skipped,high_buy_slippage,5000,1250.0,KyberSwap,,,27.716067260178033,,,55.4457,,,,,,,,5,
2026-04-29 12:28:26,COMP,skipped,no_buy_quotes,5000,1250.0,,,,,,,,,,,,,,,0,
2026-04-29 12:28:27,MKR,ok,,500,125.0,KyberSwap,Odos,Sushi,0.23772424355859356,478.2649,478.1651,1.3238,0.8715,-21.7857,-4.3571,-4.3697,-4.347,KyberSwap -> Odos,False,5,5
2026-04-29 12:28:32,MKR,skipped,high_buy_slippage,1000,250.0,Odos,,,0.46721257210177425,,,2.6071,,,,,,,,5,
2026-04-29 12:28:32,SUSHI.e,skipped,high_buy_slippage,500,125.0,Odos,,,2235.9738788375585,,,2.3137,,,,,,,,6,
