time,token,volume_usdc,buy_place,token_amount,buy_slippage,sell_place,usdc_back,sell_slippage,profit_usd,profit_percent,backup_place,backup_usdc_back,backup_profit_percent
2026-04-28 23:05:31,LINK,10000,Odos,1074.9364205275804,0.2233,ParaSwap,9924.3813,0.0925,-75.774,-0.7577,KyberSwap,9922.5787,-0.7758
2026-04-28 23:05:58,WMATIC,10000,ParaSwap,108535.04907685114,0.0623,Odos,9980.7566,0.0358,-19.3385,-0.1934,KyberSwap,9980.2047,-0.1983
2026-04-28 23:06:11,DAI,10000,KyberSwap,10000.656460266975,0.0012,Odos,9999.261,0.0011,-0.7883,-0.0079,ParaSwap,9998.6599,-0.0138
2026-04-28 23:06:50,LDO,10000,Odos,25200.814176575568,1.5256,KyberSwap,9611.5685,0.8224,-388.5819,-3.8858,0x/Matcha,9594.3369,-4.0578
2026-04-28 23:07:10,WETH,10000,KyberSwap,4.357551313025218,-0.032,Odos,9994.1687,0.021,-5.8879,-0.0589,ParaSwap,9993.1212,-0.0691
2026-04-28 23:07:19,WBTC,10000,ParaSwap,0.13108485,0.0093,KyberSwap,9991.6875,0.0018,-8.3347,-0.0833,Odos,9991.4664,-0.0855
2026-04-28 23:07:31,AAVE,10000,KyberSwap,102.86540451073141,0.2144,Odos,9900.1994,0.1106,-99.9608,-0.9996,ParaSwap,9893.7447,-1.0628
2026-04-28 23:07:43,UNI,10000,Odos,3016.349775925217,1.2814,KyberSwap,9626.295,0.9878,-373.9432,-3.7394,0x/Matcha,9622.7342,-3.7746
2026-04-28 23:07:55,LINK,10000,Odos,1075.4280911752612,0.241,ParaSwap,9923.556,0.0902,-76.6059,-0.7661,KyberSwap,9921.9856,-0.7818
2026-04-28 23:08:17,WMATIC,10000,Odos,108526.54335066897,0.028,ParaSwap,9983.3944,0.0223,-16.7541,-0.1675,KyberSwap,9982.7764,-0.1737
2026-04-28 23:08:27,DAI,10000,KyberSwap,10000.627088048168,0.0005,Odos,9999.2146,0.001,-0.8185,-0.0082,ParaSwap,9998.6008,-0.0143
2026-04-28 23:09:07,LDO,10000,Odos,25215.272906048504,1.5281,KyberSwap,9608.4433,0.85,-391.716,-3.9172,0x/Matcha,9596.8231,-4.033
2026-04-28 23:09:25,WETH,10000,KyberSwap,4.361067671377866,0.0055,Odos,9996.3678,0.0197,-3.7379,-0.0374,ParaSwap,9995.8805,-0.0415
2026-04-28 23:09:34,WBTC,10000,ParaSwap,0.13118998,0.0101,Odos,9991.8546,0.0157,-8.1829,-0.0818,KyberSwap,9991.7719,-0.0825
2026-04-28 23:09:46,AAVE,10000,KyberSwap,102.88822311687383,0.2194,Odos,9900.5862,0.114,-99.5843,-0.9958,ParaSwap,9893.9254,-1.061
2026-04-28 23:09:55,UNI,10000,Odos,3018.580441483271,1.2833,KyberSwap,9628.0171,0.9899,-372.1859,-3.7219,0x/Matcha,9623.9124,-3.7625
2026-04-28 23:10:04,LINK,10000,Odos,1075.8992556333817,0.2364,ParaSwap,9924.0465,0.0937,-76.1035,-0.761,KyberSwap,9923.9901,-0.7616
2026-04-28 23:10:29,WMATIC,10000,ParaSwap,108590.31179287906,0.0399,KyberSwap,9987.4061,0.0103,-12.64,-0.1264,Odos,9986.9741,-0.131
2026-04-28 23:10:43,DAI,10000,KyberSwap,10000.635393990988,0.0012,Odos,9999.1834,0.0009,-0.8468,-0.0085,ParaSwap,9998.7437,-0.0129
2026-04-28 23:11:23,LDO,10000,Odos,25213.47089856473,1.5248,KyberSwap,9611.7219,0.8188,-388.4639,-3.8846,0x/Matcha,9597.2225,-4.0293
2026-04-28 23:11:46,WETH,10000,KyberSwap,4.362059091849423,0.0053,ParaSwap,9997.6828,0.0057,-2.3561,-0.0236,Odos,9997.6526,-0.0249
2026-04-28 23:11:55,WBTC,10000,KyberSwap,0.13122201,-0.0315,ParaSwap,9994.8094,0.0114,-5.2136,-0.0521,Odos,9991.9993,-0.0806
2026-04-28 23:12:06,AAVE,10000,KyberSwap,102.9042842068186,0.235,Odos,9901.554,0.1151,-98.6207,-0.9862,ParaSwap,9895.4163,-1.0462
2026-04-28 23:12:18,UNI,10000,Odos,3019.329157988747,1.2861,KyberSwap,9632.0004,0.9605,-368.2032,-3.682,0x/Matcha,9624.4317,-3.7574
2026-04-28 23:12:28,LINK,10000,Odos,1076.141682071617,0.2312,KyberSwap,9925.1259,0.1171,-75.0599,-0.7506,ParaSwap,9924.176,-0.7602
2026-04-28 23:12:49,WMATIC,10000,ParaSwap,108629.50195249123,0.0466,Odos,9986.4408,0.0258,-13.7362,-0.1374,KyberSwap,9985.5236,-0.1453
2026-04-28 23:13:00,DAI,10000,KyberSwap,10000.631018849146,0.0014,Odos,9999.1763,0.0009,-0.855,-0.0086,ParaSwap,9998.7787,-0.0126
2026-04-28 23:13:39,LDO,10000,Odos,25230.375208604783,1.5275,KyberSwap,9608.4195,0.8461,-391.7246,-3.9172,0x/Matcha,9596.1042,-4.04
2026-04-28 23:13:58,WETH,10000,KyberSwap,4.366226791441447,0.0166,Odos,9997.8867,0.0169,-2.3061,-0.0231,ParaSwap,9996.5595,-0.0349
2026-04-28 23:14:08,WBTC,10000,KyberSwap,0.13127473,-0.0343,ParaSwap,9995.4288,0.0091,-4.5963,-0.046,Odos,9994.3791,-0.0567
2026-04-28 23:14:19,AAVE,10000,Odos,102.9123287099813,0.2831,KyberSwap,9897.5383,0.136,-102.5724,-1.0257,ParaSwap,9894.1624,-1.0595
2026-04-28 23:14:33,UNI,10000,Odos,3020.5260732825873,1.2952,KyberSwap,9633.1187,0.9175,-367.0898,-3.6709,0x/Matcha,9621.6958,-3.7848
2026-04-28 23:14:45,LINK,10000,Odos,1076.3897304112522,0.2023,KyberSwap,9927.205,0.1273,-72.9693,-0.7297,ParaSwap,9924.2083,-0.7598
2026-04-28 23:15:09,WMATIC,10000,ParaSwap,108637.17882964226,-0.0137,KyberSwap,9990.876,0.0043,-9.1666,-0.0917,Odos,9989.0108,-0.1105
2026-04-28 23:15:23,DAI,10000,KyberSwap,10000.583638394728,0.0016,Odos,9999.2075,0.0006,-0.8233,-0.0082,ParaSwap,9998.5495,-0.0148
2026-04-28 23:16:05,LDO,10000,Odos,25221.929705052054,1.5222,KyberSwap,9609.9597,0.8473,-390.1835,-3.9018,0x/Matcha,9595.9445,-4.0418
2026-04-28 23:16:27,WETH,10000,ParaSwap,4.364340358067651,0.01,Odos,9994.9312,0.0119,-5.1897,-0.0519,KyberSwap,9993.24,-0.0678
2026-04-28 23:16:35,WBTC,10000,ParaSwap,0.13127787,-0.0007,Odos,9993.1715,0.0243,-6.8911,-0.0689,KyberSwap,9992.9802,-0.0705
2026-04-28 23:16:45,AAVE,10000,KyberSwap,102.89322771780736,0.252,Odos,9899.5839,0.1187,-100.637,-1.0064,ParaSwap,9892.8928,-1.0714
2026-04-28 23:16:54,UNI,10000,Odos,3019.547286811785,1.2867,KyberSwap,9625.4035,0.9847,-374.891,-3.7489,0x/Matcha,9617.9015,-3.8236
2026-04-28 23:17:03,LINK,10000,Odos,1076.0224180276339,0.1945,ParaSwap,9923.4665,0.1062,-76.7042,-0.767,KyberSwap,9923.3381,-0.7683
