time,token,status,reason,volume_usdc,small_test_usdc,buy_place,sell_place,backup_place,token_amount,usdc_back,backup_usdc_back,buy_slippage,sell_slippage,profit_usd,profit_percent,backup_profit_percent,spread_percent,route_pair,is_near_profit,buy_dexes_checked,sell_dexes_checked
2026-04-29 12:35:34,WBTC,ok,,50,20,Odos,Sushi,UniswapV3,0.00064432,49.9991,49.9983,-0.0264,-0.001,-0.0176,-0.0352,-0.0367,-0.0019,Odos -> Sushi,True,6,5
2026-04-29 12:35:35,AAVE,ok,,50,20,Odos,KyberSwap,0x/Matcha,0.5082871643892554,49.8772,49.7952,0.0509,0.0297,-0.1425,-0.285,-0.4333,-0.2456,Odos -> KyberSwap,False,6,5
2026-04-29 12:35:37,WETH,ok,,50,20,Odos,KyberSwap,Sushi,0.021335023239159416,49.9882,49.9824,0.0,0.0188,-0.0234,-0.0468,-0.0485,-0.0235,Odos -> KyberSwap,True,6,5
2026-04-29 12:35:45,WBTC,ok,,100,30.0,Odos,Sushi,UniswapV3,0.00128849,99.9862,99.9854,0.0059,0.0003,-0.0326,-0.0326,-0.0333,-0.0138,Odos -> Sushi,True,6,5
2026-04-29 12:35:48,WETH,ok,,100,30.0,KyberSwap,Odos,Sushi,0.04267065929962174,99.9858,99.9646,0.0,0.0153,-0.0365,-0.0365,-0.0408,-0.0142,KyberSwap -> Odos,True,6,5
2026-04-29 12:35:49,AAVE,ok,,100,30.0,Odos,KyberSwap,0x/Matcha,1.0166960206310922,99.7413,99.5904,0.0288,0.0253,-0.282,-0.282,-0.4252,-0.2587,Odos -> KyberSwap,False,6,5
2026-04-29 12:35:57,WBTC,ok,,200,60.0,Odos,Sushi,UniswapV3,0.00257681,199.9555,199.9548,0.0125,0.0018,-0.0596,-0.0298,-0.0302,-0.0222,Odos -> Sushi,True,6,5
2026-04-29 12:36:01,WETH,ok,,200,60.0,KyberSwap,Odos,Sushi,0.08534082048595505,199.9421,199.9241,0.0006,0.0142,-0.0715,-0.0357,-0.0413,-0.0289,KyberSwap -> Odos,True,6,5
2026-04-29 12:36:01,AAVE,ok,,200,60.0,Odos,KyberSwap,0x/Matcha,2.0331364808123427,199.3648,199.051,0.0231,0.0466,-0.6555,-0.3278,-0.4809,-0.3176,Odos -> KyberSwap,False,6,5
2026-04-29 12:36:08,WBTC,ok,,500,150.0,Odos,KyberSwap,Sushi,0.00644163,499.8442,499.8246,0.0083,0.0022,-0.1777,-0.0355,-0.0382,-0.0312,Odos -> KyberSwap,True,6,5
2026-04-29 12:36:13,WETH,ok,,500,150.0,KyberSwap,Odos,Sushi,0.2133513152461933,499.8458,499.8011,0.001,0.0051,-0.1783,-0.0357,-0.0411,-0.0308,KyberSwap -> Odos,True,6,5
2026-04-29 12:36:13,AAVE,ok,,500,150.0,Odos,KyberSwap,Sushi,5.081571453079173,497.7214,497.0956,0.0297,0.0899,-2.31,-0.462,-0.5843,-0.4557,Odos -> KyberSwap,False,6,5
2026-04-29 12:36:24,UNI,ok,,50,20,Odos,KyberSwap,Sushi,15.075087534145071,49.8335,49.7758,0.0964,0.0306,-0.2183,-0.4366,-0.5395,-0.333,Odos -> KyberSwap,False,6,5
2026-04-29 12:36:24,CRV,ok,,50,20,Odos,KyberSwap,0x/Matcha,213.5940896285469,49.8527,49.7652,0.0766,0.0636,-0.1909,-0.3819,-0.5445,-0.2946,Odos -> KyberSwap,False,6,5
2026-04-29 12:36:27,LINK,ok,,50,20,KyberSwap,Odos,Sushi,5.3147789382722435,49.9756,49.9183,0.0079,-0.0279,-0.0484,-0.0968,-0.1801,-0.0489,KyberSwap -> Odos,False,6,5
2026-04-29 12:36:36,CRV,ok,,100,30.0,Odos,KyberSwap,0x/Matcha,426.62077881128494,99.4429,99.3108,0.2204,0.1307,-0.5976,-0.5976,-0.7233,-0.5571,Odos -> KyberSwap,False,6,5
2026-04-29 12:36:37,LINK,ok,,100,30.0,KyberSwap,Odos,Sushi,10.628380453359162,99.9115,99.7979,0.0164,0.0173,-0.1198,-0.1198,-0.2116,-0.0885,KyberSwap -> Odos,False,6,5
2026-04-29 12:36:38,UNI,ok,,100,30.0,Odos,KyberSwap,Sushi,30.130722130021994,99.5622,99.4969,0.1829,0.0268,-0.5033,-0.5033,-0.5629,-0.4378,Odos -> KyberSwap,False,6,5
2026-04-29 12:36:48,LINK,ok,,200,60.0,Odos,KyberSwap,Sushi,21.25626844668825,199.7012,199.657,0.047,0.0021,-0.3219,-0.1609,-0.1759,-0.1494,Odos -> KyberSwap,False,6,5
2026-04-29 12:36:54,UNI,ok,,200,60.0,Odos,KyberSwap,Sushi,60.21600234818393,198.8825,198.8005,0.12,0.0152,-1.2021,-0.6011,-0.6378,-0.5588,Odos -> KyberSwap,False,6,5
2026-04-29 12:36:54,CRV,ok,,200,60.0,Odos,KyberSwap,0x/Matcha,852.2335223209652,198.347,198.1523,0.2348,0.1535,-1.708,-0.854,-0.9455,-0.8265,Odos -> KyberSwap,False,6,5
2026-04-29 12:36:59,LINK,ok,,500,150.0,Odos,KyberSwap,Sushi,53.13720013906208,499.1349,498.8967,0.0343,0.0179,-0.8956,-0.1791,-0.2237,-0.173,Odos -> KyberSwap,False,6,5
2026-04-29 12:37:09,UNI,ok,,500,150.0,Odos,KyberSwap,Sushi,150.3752555138469,496.34,496.1167,0.1447,0.051,-3.7641,-0.7528,-0.7948,-0.732,Odos -> KyberSwap,False,6,5
2026-04-29 12:37:09,CRV,ok,,500,150.0,Odos,KyberSwap,0x/Matcha,2124.903236506325,493.0997,492.4103,0.3346,0.2339,-6.9547,-1.3909,-1.5261,-1.3801,Odos -> KyberSwap,False,6,5
2026-04-29 12:37:09,SUSHI,ok,,50,20,Odos,Sushi,0x/Matcha,230.39855279164846,49.1934,49.1211,0.3795,0.3302,-0.8375,-1.6749,-1.8195,-1.6131,Odos -> Sushi,False,6,5
2026-04-29 12:37:19,WMATIC,ok,,50,20,Odos,KyberSwap,Sushi,536.9245221308956,49.9686,49.9619,0.0099,0.0074,-0.0442,-0.0884,-0.0896,-0.0628,Odos -> KyberSwap,False,6,5
2026-04-29 12:37:23,DAI,ok,,50,20,Odos,KyberSwap,Sushi,49.99819607264383,50.0008,49.9927,-0.004,0.0003,-0.0081,-0.0162,-0.0232,0.0017,Odos -> KyberSwap,True,6,5
2026-04-29 12:37:25,SUSHI,ok,,100,30.0,Odos,Sushi,0x/Matcha,458.6978207025325,97.3522,97.214,0.6916,0.5865,-2.6736,-2.6736,-2.8118,-2.6478,Odos -> Sushi,False,6,5
2026-04-29 12:37:31,WMATIC,ok,,100,30.0,Odos,KyberSwap,Sushi,1073.7997221238434,99.9245,99.9177,0.0112,0.0023,-0.0904,-0.0904,-0.0912,-0.0755,Odos -> KyberSwap,False,6,5
2026-04-29 12:37:36,DAI,ok,,100,30.0,KyberSwap,Odos,Sushi,99.99256484041216,99.9969,99.9814,0.0001,0.0005,-0.0111,-0.0111,-0.0218,-0.0031,KyberSwap -> Odos,True,6,5
2026-04-29 12:37:38,SUSHI,ok,,200,60.0,Odos,Sushi,0x/Matcha,911.3267113764712,191.3727,191.0929,1.0743,1.0359,-8.6613,-4.3306,-4.4705,-4.3137,Odos -> Sushi,False,6,5
2026-04-29 12:37:43,WMATIC,ok,,200,60.0,KyberSwap,Odos,Sushi,2148.184050038001,199.8751,199.7932,0.0075,0.0157,-0.1597,-0.0799,-0.1088,-0.0625,KyberSwap -> Odos,False,6,5
2026-04-29 12:37:50,DAI,ok,,200,60.0,Odos,KyberSwap,Sushi,199.99019353240584,200.0005,199.9673,-0.0029,0.0032,-0.0134,-0.0067,-0.0202,0.0002,Odos -> KyberSwap,True,6,5
2026-04-29 12:37:55,WMATIC,ok,,500,150.0,KyberSwap,Odos,Sushi,5370.62961393518,499.5258,499.4421,0.013,0.0115,-0.5194,-0.1039,-0.1129,-0.0948,KyberSwap -> Odos,False,6,5
2026-04-29 12:37:56,SUSHI,ok,,500,150.0,Odos,Sushi,0x/Matcha,2238.259678451166,456.6968,455.5157,2.1135,2.3749,-43.3831,-8.6766,-8.9128,-8.6606,Odos -> Sushi,False,6,5
2026-04-29 12:38:06,DAI,ok,,500,150.0,Odos,KyberSwap,Sushi,499.9674072332342,499.9896,499.9058,0.002,0.0016,-0.0254,-0.0051,-0.0206,-0.0021,Odos -> KyberSwap,True,6,5
2026-04-29 12:38:10,GRT,ok,,50,20,Odos,Sushi,0x/Matcha,1982.2099313828799,49.4813,49.4457,0.1751,0.1425,-0.5365,-1.073,-1.1441,-1.0375,Odos -> Sushi,False,5,4
2026-04-29 12:38:10,BAL,ok,,50,20,KyberSwap,Odos,0x/Matcha,312.37413219233457,49.6635,49.5755,0.1081,0.0695,-0.3703,-0.7406,-0.8599,-0.6731,KyberSwap -> Odos,False,5,4
2026-04-29 12:38:15,SNX,ok,,50,20,0x/Matcha,Odos,Sushi,155.6550918342193,49.499,49.4478,0.2107,0.2115,-0.5219,-1.0437,-1.1044,-1.0021,0x/Matcha -> Odos,False,5,4
2026-04-29 12:38:22,GRT,ok,,100,30.0,Odos,Sushi,0x/Matcha,3955.068704328937,98.4722,98.412,0.3338,0.2548,-1.5519,-1.5519,-1.612,-1.5278,Odos -> Sushi,False,5,4
2026-04-29 12:38:26,BAL,ok,,100,30.0,KyberSwap,Odos,0x/Matcha,624.1307221060835,99.0917,98.9113,0.1636,0.1204,-0.9537,-0.9537,-1.0973,-0.9083,KyberSwap -> Odos,False,5,4
2026-04-29 12:38:33,SNX,ok,,100,30.0,0x/Matcha,Odos,Sushi,310.421420131117,98.4133,98.267,0.431,0.2878,-1.6077,-1.6077,-1.733,-1.5867,0x/Matcha -> Odos,False,5,4
2026-04-29 12:38:37,GRT,ok,,200,60.0,Odos,0x/Matcha,KyberSwap,7880.2170507407955,195.2467,195.1722,0.605,0.4174,-4.7848,-2.3924,-2.4338,-2.3767,Odos -> 0x/Matcha,False,5,4
2026-04-29 12:38:38,BAL,ok,,200,60.0,KyberSwap,Odos,0x/Matcha,1245.9431945364533,197.3184,196.9841,0.3097,0.228,-2.7328,-1.3664,-1.5164,-1.3408,KyberSwap -> Odos,False,5,4
2026-04-29 12:38:46,BAL,ok,,500,150.0,KyberSwap,Odos,0x/Matcha,3099.4709324432733,487.6467,486.7588,0.556,0.5438,-12.4049,-2.481,-2.6517,-2.4707,KyberSwap -> Odos,False,5,4
2026-04-29 12:38:47,GRT,ok,,500,150.0,Odos,0x/Matcha,KyberSwap,19453.643599119656,476.2945,476.1609,1.441,0.9901,-23.742,-4.7484,-4.7775,-4.7411,Odos -> 0x/Matcha,False,5,4
2026-04-29 12:38:49,SNX,ok,,200,60.0,0x/Matcha,Odos,Sushi,617.3324686290376,194.6373,194.2172,0.7447,0.5482,-5.3944,-2.6972,-2.8914,-2.6813,0x/Matcha -> Odos,False,5,4
